draw_date,first_prize,front3_1,front3_2,back3_1,back3_2,last2,digit1,digit2,digit3,digit4,digit5,digit6
2015-02-01,155537,083,286,008,813,79,1,5,5,5,3,7
2015-01-16,244351,068,398,877,595,74,2,4,4,3,5,1
2014-12-30,461704,535,853,950,982,57,4,6,1,7,0,4
2014-12-16,948354,080,763,775,901,90,9,4,8,3,5,4
2014-12-01,480449,161,380,580,820,11,4,8,0,4,4,9
2014-11-16,479804,179,422,480,709,25,4,7,9,8,0,4
2014-11-01,206608,203,607,855,979,44,2,0,6,6,0,8
2014-10-16,656409,647,784,848,910,94,6,5,6,4,0,9
2014-10-01,375615,086,159,251,520,44,3,7,5,6,1,5
2014-09-16,772269,112,257,342,790,35,7,7,2,2,6,9
2014-09-01,856763,308,477,490,912,22,8,5,6,7,6,3
2014-08-16,662842,187,633,639,912,91,6,6,2,8,4,2
2014-08-01,766391,349,576,623,637,82,7,6,6,3,9,1
2014-07-16,468728,104,944,117,205,45,4,6,8,7,2,8
2014-07-01,378477,123,271,441,864,39,3,7,8,4,7,7
2014-06-16,673920,158,140,639,576,95,6,7,3,9,2,0
2014-06-01,781198,160,324,409,636,18,7,8,1,1,9,8
2014-05-16,087523,112,150,246,505,20,0,8,7,5,2,3
2014-05-02,103297,143,158,673,797,52,1,0,3,2,9,7
2014-04-16,153406,013,344,355,634,26,1,5,3,4,0,6
2014-04-01,028866,186,499,835,938,95,0,2,8,8,6,6
2014-03-16,531404,250,305,400,904,79,5,3,1,4,0,4
2014-03-01,906318,116,537,753,798,35,9,0,6,3,1,8
2014-02-16,384245,074,397,521,530,01,3,8,4,2,4,5
2014-02-01,180149,406,492,888,976,95,1,8,0,1,4,9
2014-01-16,306902,077,149,242,510,52,3,0,6,9,0,2
2013-12-30,561072,275,503,513,750,48,5,6,1,0,7,2
2013-12-16,341767,111,228,742,826,79,3,4,1,7,6,7
2013-12-01,168795,074,734,766,980,27,1,6,8,7,9,5
2013-11-16,806925,069,304,672,753,28,8,0,6,9,2,5
2013-11-01,739804,020,173,256,502,47,7,3,9,8,0,4
2013-10-16,963289,402,529,876,952,60,9,6,3,2,8,9
2013-10-01,647882,028,324,576,650,14,6,4,7,8,8,2
2013-09-16,562684,056,235,574,754,63,5,6,2,6,8,4
2013-09-01,548123,045,281,570,800,05,5,4,8,1,2,3
2013-08-16,321327,201,417,448,945,20,3,2,1,3,2,7
2013-08-01,356435,329,451,718,880,82,3,5,6,4,3,5
2013-07-16,566996,352,210,584,526,86,5,6,6,9,9,6
2013-07-01,646905,075,284,903,904,51,6,4,6,9,0,5
2013-06-16,289673,098,114,390,502,69,2,8,9,6,7,3
2013-06-01,935489,480,713,716,768,90,9,3,5,4,8,9
2013-05-16,687125,034,261,390,945,56,6,8,7,1,2,5
2013-05-02,603458,272,359,516,830,07,6,0,3,4,5,8
2013-04-16,843846,828,834,862,906,86,8,4,3,8,4,6
2013-04-01,571688,170,430,670,725,53,5,7,1,6,8,8
2013-03-16,968433,175,529,860,959,52,9,6,8,4,3,3
2013-03-01,976241,133,721,775,972,37,9,7,6,2,4,1
2013-02-16,368257,657,708,109,386,09,3,6,8,2,5,7
2013-02-01,565566,452,641,695,782,66,5,6,5,5,6,6
2013-01-16,820981,196,334,374,555,08,8,2,0,9,8,1
2012-12-30,302358,126,589,832,864,00,3,0,2,3,5,8
2012-12-16,529524,008,734,745,778,72,5,2,9,5,2,4
2012-12-01,110443,303,434,489,553,43,1,1,0,4,4,3
2012-11-16,639500,560,576,627,804,15,6,3,9,5,0,0
2012-11-01,524694,188,217,285,338,63,5,2,4,6,9,4
2012-10-16,281343,089,152,396,868,28,2,8,1,3,4,3
2012-10-01,124025,291,554,873,940,58,1,2,4,0,2,5
2012-09-16,540143,123,242,752,770,79,5,4,0,1,4,3
2012-09-01,329997,148,598,639,736,07,3,2,9,9,9,7
2012-08-16,683877,032,612,730,775,28,6,8,3,8,7,7
2012-08-01,895590,599,745,796,820,50,8,9,5,5,9,0
2012-07-16,904050,042,159,224,897,11,9,0,4,0,5,0
2012-07-01,915900,530,611,656,715,60,9,1,5,9,0,0
2012-06-16,159373,238,479,547,790,51,1,5,9,3,7,3
2012-06-01,882727,399,576,606,895,38,8,8,2,7,2,7
2012-05-16,814418,101,309,504,902,31,8,1,4,4,1,8
2012-05-02,889501,426,468,589,597,29,8,8,9,5,0,1
2012-04-16,583470,088,216,722,754,62,5,8,3,4,7,0
2012-04-01,257562,581,074,616,332,69,2,5,7,5,6,2
2012-03-16,607064,606,333,573,350,08,6,0,7,0,6,4
2012-03-01,222518,295,135,711,199,79,2,2,2,5,1,8
2012-02-16,648684,906,214,111,420,18,6,4,8,6,8,4
2012-02-01,320605,749,426,498,598,32,3,2,0,6,0,5
2012-01-16,451445,328,150,941,639,81,4,5,1,4,4,5
2011-12-30,526402,168,026,541,597,65,5,2,6,4,0,2
2011-12-16,884178,784,235,295,651,21,8,8,4,1,7,8
2011-12-01,408147,922,253,857,739,02,4,0,8,1,4,7
2011-11-16,997777,425,551,406,993,57,9,9,7,7,7,7
2011-11-01,805540,065,221,380,771,54,8,0,5,5,4,0
2011-10-16,955756,057,329,507,991,83,9,5,5,7,5,6
2011-10-01,511052,104,189,499,957,15,5,1,1,0,5,2
2011-09-16,731198,384,645,812,589,28,7,3,1,1,9,8
2011-09-01,724533,847,021,533,821,85,7,2,4,5,3,3
2011-08-16,536960,814,345,074,005,62,5,3,6,9,6,0
2011-08-01,218756,221,583,660,703,12,2,1,8,7,5,6
2011-07-16,116556,052,227,534,609,12,1,1,6,5,5,6
2011-07-01,622953,390,160,780,463,51,6,2,2,9,5,3
2011-06-16,351276,486,167,162,582,88,3,5,1,2,7,6
2011-06-01,562370,346,556,656,801,46,5,6,2,3,7,0
2011-05-16,406417,044,071,700,889,05,4,0,6,4,1,7
2011-05-02,054136,133,421,524,945,85,0,5,4,1,3,6
2011-04-16,825988,263,213,397,593,44,8,2,5,9,8,8
2011-04-01,814931,723,584,040,036,01,8,1,4,9,3,1
2011-03-16,593331,209,463,737,945,96,5,9,3,3,3,1
2011-03-01,656037,544,357,926,396,97,6,5,6,0,3,7
2011-02-16,481746,384,388,510,535,27,4,8,1,7,4,6
2011-02-01,610089,121,361,432,596,55,6,1,0,0,8,9
2011-01-16,281062,185,227,546,758,23,2,8,1,0,6,2
2010-12-30,884112,153,186,933,936,49,8,8,4,1,1,2
2010-12-16,334380,306,315,529,533,24,3,3,4,3,8,0
2010-12-01,181752,086,470,474,664,09,1,8,1,7,5,2
2010-11-16,813993,129,763,907,979,43,8,1,3,9,9,3
2010-11-01,191100,653,739,801,968,59,1,9,1,1,0,0
2010-10-16,621377,310,385,518,872,42,6,2,1,3,7,7
2010-10-01,488372,003,091,246,996,02,4,8,8,3,7,2
2010-09-16,017422,103,316,431,075,66,0,1,7,4,2,2
2010-09-01,354656,096,570,656,784,11,3,5,4,6,5,6
2010-08-16,911097,448,578,689,986,64,9,1,1,0,9,7
2010-08-01,210008,182,191,727,769,10,2,1,0,0,0,8
2010-07-16,180387,024,219,309,572,34,1,8,0,3,8,7
2010-07-01,480239,450,893,918,961,68,4,8,0,2,3,9
2010-06-16,500104,200,628,681,816,73,5,0,0,1,0,4
2010-06-01,444874,298,374,673,996,81,4,4,4,8,7,4
2010-05-16,480012,008,151,293,770,12,4,8,0,0,1,2
2010-05-02,360371,040,382,517,618,06,3,6,0,3,7,1
2010-04-16,211743,154,285,744,811,96,2,1,1,7,4,3
2010-04-01,959517,040,174,447,663,22,9,5,9,5,1,7
2010-03-16,364222,229,619,756,996,97,3,6,4,2,2,2
2010-03-01,215227,457,627,374,470,97,2,1,5,2,2,7
2010-02-16,133707,026,137,362,985,03,1,3,3,7,0,7
2010-02-01,186312,403,577,694,936,14,1,8,6,3,1,2
2010-01-16,073577,413,459,646,781,67,0,7,3,5,7,7
2009-12-30,994304,337,419,598,993,87,9,9,4,3,0,4
2009-12-16,685141,142,524,694,775,05,6,8,5,1,4,1
2009-12-01,776980,188,252,412,937,59,7,7,6,9,8,0
2009-11-16,055986,072,299,536,952,58,0,5,5,9,8,6
2009-11-01,689140,366,465,642,923,85,6,8,9,1,4,0
2009-10-16,258487,122,135,174,226,00,2,5,8,4,8,7
2009-10-01,169387,255,714,435,249,06,1,6,9,3,8,7
2009-09-16,202912,166,200,353,539,48,2,0,2,9,1,2
2009-09-01,015865,435,446,447,924,32,0,1,5,8,6,5
2009-08-16,462933,292,577,658,843,96,4,6,2,9,3,3
2009-08-01,154986,239,374,421,688,92,1,5,4,9,8,6
2009-07-16,000816,005,177,356,836,94,0,0,0,8,1,6
2009-07-01,207542,107,233,385,799,66,2,0,7,5,4,2
2009-06-16,930456,044,125,179,954,15,9,3,0,4,5,6
2009-06-01,777661,097,240,242,642,26,7,7,7,6,6,1
2009-05-16,111411,362,368,838,892,54,1,1,1,4,1,1
2009-05-02,294452,222,301,549,947,11,2,9,4,4,5,2
2009-04-16,368415,007,179,570,954,33,3,6,8,4,1,5
2009-04-01,816578,044,113,363,572,50,8,1,6,5,7,8
2009-03-16,268812,063,228,424,929,36,2,6,8,8,1,2
2009-03-01,553091,224,238,295,665,67,5,5,3,0,9,1
2009-02-16,038730,115,434,939,961,93,0,3,8,7,3,0
2009-02-01,534533,015,427,660,777,69,5,3,4,5,3,3
2009-01-16,743212,266,800,842,885,25,7,4,3,2,1,2
2008-12-30,218596,094,197,831,984,22,2,1,8,5,9,6
2008-12-16,074114,305,715,803,959,25,0,7,4,1,1,4
2008-12-01,205434,013,260,617,957,05,2,0,5,4,3,4
2008-11-16,002612,068,589,824,877,20,0,0,2,6,1,2
2008-11-01,272028,285,333,421,929,76,2,7,2,0,2,8
2008-10-16,431277,324,526,644,648,98,4,3,1,2,7,7
2008-10-01,882911,204,302,311,395,67,8,8,2,9,1,1
2008-09-16,012377,378,534,557,691,56,0,1,2,3,7,7
2008-09-01,695993,027,206,413,904,09,6,9,5,9,9,3
2008-08-16,380377,161,445,457,744,36,3,8,0,3,7,7
2008-08-01,850348,236,386,408,913,11,8,5,0,3,4,8
